E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
32.1399,-0.458755,2.21391,13557.6,4089,-0.464267,141878,953123,-84717.7,113808,-74370.2,3.73147e+06,95528.4,-124504,76630.9
41.7616,-0.988849,2.91696,13796.4,3841.25,-0.989124,23769.5,953362,-23219.3,5084.75,-159845,3.73122e+06,25519.7,-6694.2,167195
15.1507,-0.763526,5.40984,13864.7,3756.93,-0.767259,103900,953430,65057.6,-81011.1,-124300,3.73114e+06,-77652.4,79479.3,125197
69.2174,-0.274573,1.19439,14019.2,3643.51,-0.281706,156314,953585,57613.2,145310,-45893.3,3.73102e+06,-58115.9,-148800,40692.3
37.7069,-0.385887,0.315783,14137.7,3525.68,-0.390037,150647,953703,142019,50251,-63811.8,3.73091e+06,-147152,-33010.3,59599.5
65.2385,0.709746,5.01861,14061.1,3608.28,0.704872,115733,953627,32850,-110973,115005,3.73099e+06,-41803.8,104552,-119303
44.6236,0.805735,5.3632,14092.4,3545.74,0.805512,96792,953658,57622.7,-77771,131573,3.73093e+06,-62180,73438.5,-131094
50.2056,0.656663,6.05019,14130.2,3515.16,0.655364,123539,953696,120526,-27121.8,107192,3.73089e+06,-116750,33495,-107072
35.8976,0.249619,2.43338,13649.3,4012.84,0.241568,155973,953215,-116765,103410,38828.1,3.73139e+06,132574,-100192,-48130.2
26.1304,-0.726626,6.01144,13834,3786.87,-0.729677,110655,953399,106565,-29805.3,-118080,3.73117e+06,-113297,31129,120164
37.5357,-0.258792,3.76767,13432.1,4232.38,-0.255333,154155,952998,-125362,-89710.9,-40710.3,3.73161e+06,136825,102625,48127
90.9253,0.986973,0.729375,14336.2,3350.65,0.987383,26089.2,953902,18948.4,17933.4,162679,3.73073e+06,-22145.8,-15891.9,-155713
39.9485,-0.721658,0.990288,14241.6,3402.83,-0.730731,112100,953807,61165.3,93942.8,-119993,3.73078e+06,-64985.4,-96387.3,108928
42.8309,0.54487,0.778147,13898.1,3749.82,0.536074,136926,953464,98589.3,95021,86952.3,3.73113e+06,-92961.3,-100031,-96541
45.1555,-0.0603938,5.04682,13716.1,3933.28,-0.0668953,160768,953282,53433.8,-151628,-10778.8,3.73131e+06,-53573.8,162567,6239.31
26.0021,-0.412042,1.39468,14041.2,3574.42,-0.414058,148408,953607,26044.1,146105,-67508.5,3.73095e+06,-26005.2,-147067,65987.2
45.2272,0.994247,1.73305,13809.9,3835.71,0.993785,17997.3,953375,-1621.9,17924.1,160678,3.73122e+06,7525.2,-14605.8,-168342
52.4958,0.977132,5.50614,13769.7,3887.54,0.979186,32767.8,953335,23749.1,-22576.8,158085,3.73127e+06,-28635.1,31208.7,-164930
37.8474,-0.0526203,0.459976,14021.3,3618.4,-0.0566723,162663,953587,146673,70328.8,-9233.3,3.731e+06,-143286,-80125.4,6046.6
14.3603,-0.780716,4.855,14371.6,3246.14,-0.778993,103437,953937,15947.8,-102200,-128505,3.73063e+06,-8738.9,95533.6,122502
28.4495,-0.26652,3.13902,14100,3519.13,-0.263553,157608,953665,-157606,889.629,-43060.5,3.7309e+06,155606,1494.87,45067.7
37.9742,0.23929,0.994197,14018.1,3613.72,0.240252,158135,953584,85112.3,133276,39138.5,3.73099e+06,-91231.1,-130903,-38647.5
31.7999,-0.166011,1.46096,14124.7,3500.45,-0.161518,161382,953690,18613.1,160305,-26412.8,3.73088e+06,-13789.9,-158228,29684.1
45.4176,-0.418463,1.98073,13949.4,3710.77,-0.403071,148718,953515,-58002.5,136941,-65500.4,3.73109e+06,63229.6,-131947,79174.7
18.2193,-0.234234,1.81564,13982.3,3629.77,-0.241772,157870,953548,-38520.9,153098,-39335.5,3.73101e+06,38052.7,-156484,33718.3
14.4412,-0.203549,3.12006,14180.7,3430.72,-0.212146,160125,953746,-160076,3949.76,-34761.2,3.73081e+06,157654,-1429.11,27020.1
33.7338,0.46851,4.40996,14267.6,3364.84,0.460685,145880,953833,-43683.3,-139186,75718.4,3.73074e+06,39947.2,131258,-79189.1
23.7929,0.0350237,0.685615,13994.9,3624.45,0.0390954,162646,953560,126765,101904,6363.56,3.731e+06,-123741,-108216,-3160.59
19.9094,0.460565,4.59646,14077.8,3541.22,0.462866,144714,953643,-18621,-143511,75565.1,3.73092e+06,9388.44,144754,-73277.2
63.0588,-0.961496,1.55595,14705.7,2984.24,-0.960969,46169.4,954271,-510.184,46166.5,-160370,3.73036e+06,-5266.56,-39761.5,143691
54.5806,-0.541267,6.17756,14438.7,3223.74,-0.542211,138934,954004,138323,-13014.4,-89654.7,3.7306e+06,-129265,20163.4,83226
18.2303,-0.41346,5.11357,14176.8,3438.65,-0.420987,148607,953742,58774.6,-136490,-68971.3,3.73082e+06,-54848.4,137393,61327.2
21.9799,0.794614,2.40481,13976.8,3636.79,0.79778,98078.1,953542,-72515,66037,129770,3.73102e+06,76487.3,-68410.1,-128819
39.4247,0.756708,5.09057,14061.5,3574.62,0.763451,105379,953627,39089.7,-97861.2,124565,3.73095e+06,-40525.5,104059,-119122
15.7268,0.325574,6.08584,13806.1,3817.61,0.318208,153257,953371,150650,-28150.2,51441.6,3.7312e+06,-153179,38340.3,-59498
47.9381,0.308935,0.354737,14124,3525.03,0.32103,154869,953689,145085,54175.9,52496.3,3.7309e+06,-147338,-52870.2,-42272.1
23.8305,0.928815,4.06038,13791.2,3842.02,0.932391,58400.4,953357,-36782.5,-45361.5,150649,3.73122e+06,36211.4,58479.9,-154677
54.4255,0.824513,1.70438,14309.3,3349.5,0.817583,94779.8,953875,-12765.8,93916.2,134576,3.73073e+06,10482.7,-82214.4,-134580
9.30622,-0.98696,0.513545,13876.1,3763.67,-0.988842,24143.9,953442,22418.8,8962.48,-160264,3.73114e+06,-24556.4,-28258.7,163309
36.5446,0.716697,2.37101,14070.4,3575.2,0.70823,115225,953636,-81295.5,81656.2,115591,3.73095e+06,82936.8,-69817.8,-122115
43.9365,-0.708956,0.93964,14183.6,3465.65,-0.719197,113859,953749,67326.6,91820.9,-117856,3.73085e+06,-70163.9,-97154.2,107171
29.8351,-0.684812,1.03469,13940.6,3684.79,-0.681421,118897,953506,59698.6,102823,-110698,3.73106e+06,-64674.1,-99679.5,115603
17.9432,0.973363,3.89207,14211.7,3423.1,0.969928,39925,953777,-30583.1,-25664.8,159102,3.7308e+06,14654.4,24827.9,-157159
59.4932,0.746051,2.95747,14278.3,3378.38,0.751279,108516,953844,-106670,19933,123527,3.73076e+06,107628,-19776.4,-114985
72.0051,-0.501387,4.7301,13662.1,4017.46,-0.505633,138738,953228,2971.02,-138706,-81310.4,3.7314e+06,-667.491,151304,84095.5
24.0281,-0.359842,3.48028,14263.9,3360.48,-0.360273,153303,953829,-145136,-49368.7,-59206.9,3.73074e+06,137150,55188.1,56631
19.9856,0.152451,0.248409,14412.2,3233.88,0.133681,163714,953978,158735,40070.8,22083.7,3.73061e+06,-146319,-37864.5,-35712.6
37.1075,-0.495716,1.2385,14168.3,3466.36,-0.500109,141830,953734,44885.8,134540,-81909.3,3.73085e+06,-51436.7,-131559,76807.3
50.6534,0.285703,2.16126,13796.7,3858.79,0.292619,154531,953362,-84825.6,129169,47288.7,3.73124e+06,95873.6,-132853,-44039.6
39.1865,0.675798,4.20839,14204.3,3432.62,0.679827,120268,953770,-56903.2,-105954,111487,3.73081e+06,62655.8,102751,-105440
78.2545,-0.317424,4.09454,14700.9,3000.36,-0.320183,158072,954266,-91023.6,-129234,-53424.5,3.73038e+06,84629.6,114578,45668.3
45.7742,-0.748371,5.79287,13799.1,3843.77,-0.748292,107213,953365,94943.3,-49803.6,-120938,3.73122e+06,-97589.9,55523.4,126738
