K_keV,count
12687.1,0
12700.6,0
12714,0
12727.5,0
12741,0
12754.5,0
12768,0
12781.4,0
12794.9,0
12808.4,0
12821.9,0
12835.4,0
12848.8,0
12862.3,0
12875.8,0
12889.3,0
12902.8,0
12916.2,0
12929.7,0
12943.2,0
12956.7,0
12970.2,0
12983.7,0
12997.1,0
13010.6,0
13024.1,0
13037.6,0
13051.1,0
13064.5,0
13078,0
13091.5,0
13105,0
13118.5,0
13131.9,0
13145.4,0
13158.9,0
13172.4,0
13185.9,0
13199.3,0
13212.8,0
13226.3,0
13239.8,0
13253.3,0
13266.7,0
13280.2,0
13293.7,0
13307.2,1
13320.7,0
13334.1,0
13347.6,1
13361.1,0
13374.6,2
13388.1,4
13401.5,0
13415,3
13428.5,5
13442,5
13455.5,4
13469,6
13482.4,17
13495.9,9
13509.4,21
13522.9,17
13536.4,23
13549.8,40
13563.3,46
13576.8,52
13590.3,84
13603.8,95
13617.2,107
13630.7,157
13644.2,161
13657.7,220
13671.2,262
13684.6,294
13698.1,335
13711.6,406
13725.1,479
13738.6,565
13752,686
13765.5,801
13779,928
13792.5,964
13806,1097
13819.4,1257
13832.9,1430
13846.4,1583
13859.9,1640
13873.4,1826
13886.8,1988
13900.3,2164
13913.8,2371
13927.3,2480
13940.8,2622
13954.3,2762
13967.7,2779
13981.2,2881
13994.7,2973
14008.2,3112
14021.7,3103
14035.1,3150
14048.6,3181
14062.1,3258
14075.6,3157
14089.1,3047
14102.5,3021
14116,2914
14129.5,2898
14143,2826
14156.5,2581
14169.9,2395
14183.4,2397
14196.9,2138
14210.4,2003
14223.9,1820
14237.3,1821
14250.8,1592
14264.3,1477
14277.8,1309
14291.3,1142
14304.7,994
14318.2,888
14331.7,786
14345.2,692
14358.7,582
14372.2,534
14385.6,425
14399.1,359
14412.6,279
14426.1,276
14439.6,217
14453,167
14466.5,162
14480,137
14493.5,102
14507,70
14520.4,79
14533.9,50
14547.4,49
14560.9,35
14574.4,34
14587.8,25
14601.3,11
14614.8,9
14628.3,8
14641.8,10
14655.2,3
14668.7,5
14682.2,5
14695.7,3
14709.2,4
14722.6,1
14736.1,3
14749.6,0
14763.1,0
14776.6,0
14790,0
14803.5,0
14817,1
14830.5,0
14844,0
14857.5,0
14870.9,0
14884.4,0
14897.9,0
14911.4,0
14924.9,0
14938.3,0
14951.8,0
14965.3,0
14978.8,0
14992.3,0
15005.7,0
15019.2,0
15032.7,0
15046.2,0
15059.7,0
15073.1,0
15086.6,0
15100.1,0
15113.6,0
15127.1,0
15140.5,0
15154,0
15167.5,0
15181,0
15194.5,0
15207.9,0
15221.4,0
15234.9,0
15248.4,0
15261.9,0
15275.4,0
15288.8,0
15302.3,0
15315.8,0
15329.3,0
15342.8,0
15356.2,0
15369.7,0
