cos_theta_lab,count
-0.975,2425
-0.925,2455
-0.875,2390
-0.825,2386
-0.775,2350
-0.725,2338
-0.675,2527
-0.625,2440
-0.575,2425
-0.525,2390
-0.475,2515
-0.425,2478
-0.375,2491
-0.325,2445
-0.275,2469
-0.225,2464
-0.175,2418
-0.125,2524
-0.075,2463
-0.025,2448
0.025,2579
0.075,2489
0.125,2495
0.175,2477
0.225,2605
0.275,2555
0.325,2501
0.375,2588
0.425,2505
0.475,2518
0.525,2581
0.575,2515
0.625,2575
0.675,2491
0.725,2572
0.775,2651
0.825,2631
0.875,2646
0.925,2557
0.975,2628
