E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
28.613,0.602407,2.64629,2435.11,863.127,0.60435,53929.2,942001,-47295.2,25913.9,40907.9,2.80925e+06,49610.8,-25714.3,-41548.6
26.0212,0.7189,2.25373,2450.85,849.304,0.731221,46322.7,942016,-28473.9,36538,49655.7,2.80924e+06,34129,-37367.4,-47010.3
32.3709,0.793671,2.60323,2588.57,718.829,0.799341,41936.6,942154,-36061.3,21407,55787.9,2.80911e+06,34334.3,-20888.8,-49222.3
33.199,-0.76961,5.67043,2483.31,822.406,-0.76968,43640.9,942049,36439.7,-24014.2,-52612.8,2.80921e+06,-33237.9,28149.4,52180.5
29.9739,0.972588,0.278353,2682.38,649.037,0.964698,18711,942248,17463,6718.85,68539.3,2.80904e+06,-8635.39,2685.72,-59700.4
39.7384,-0.00392088,6.13511,2414.67,896.015,0.0014719,67404.1,941980,66706.3,-9673.44,99.2123,2.80929e+06,-70032.8,11272.9,1362.12
48.1857,-0.746023,4.3515,2530.36,805.968,-0.736355,46686.5,942096,-13817.7,-44594.8,-50810,2.8092e+06,22819.2,36652.4,51608.9
19.0383,0.324913,1.9639,2444.44,868.249,0.340939,63755.6,942010,-21437.2,60043.5,23122.1,2.80926e+06,34279.7,-57763.6,-19125.8
44.7985,0.747676,6.07587,2536.98,793.61,0.755018,45304.1,942102,44798.7,-6748.53,52165.9,2.80919e+06,-43256.7,17073.6,-47911.5
31.7207,0.685122,0.897595,2562.61,750.308,0.696575,49822.8,942128,32429.5,37823.8,48370.8,2.80914e+06,-26647.1,-41886.8,-41836.7
58.675,-0.777122,4.28446,2602.57,743.35,-0.797861,42187.5,942168,-16585,-38790.7,-55835.2,2.80913e+06,21767.1,40477.4,45426.4
19.6484,0.474979,1.98674,2598.08,712.345,0.452825,62341.1,942163,-27045.5,56169,31661.7,2.8091e+06,15746.2,-50730.6,-34351.9
22.2367,-0.211488,5.8031,2499.56,801.169,-0.185522,67389.7,942065,59285.4,-32040.9,-12723.1,2.80919e+06,-58318.7,26880.3,19416.8
12.9313,-0.67136,3.8198,2434.87,851.987,-0.680637,49588,942000,-39380.4,-30135.7,-46069.4,2.80924e+06,38865,36064.5,44441.2
26.1798,-0.543094,4.47029,2548.29,750.995,-0.553912,57652.8,942114,-13684.9,-56005.1,-38356.4,2.80914e+06,13818.4,54210,33001
35.329,-0.585241,2.30258,2558.53,756.48,-0.607908,55092.6,942124,-36965.8,40850.1,-42180,2.80915e+06,37004.7,-42120.9,33257.1
53.4099,-0.347072,0.308286,2430.88,894.668,-0.333956,63747.6,941996,60703.1,19465,-22585.5,2.80929e+06,-62487.6,-19496.6,27223.9
59.9608,0.948882,4.94492,2585.01,748.489,0.945146,22781.8,942150,5115.51,-22200.1,65918.4,2.80914e+06,-4584.55,17573.7,-62248
43.8017,-0.536618,5.32537,2451.55,871.74,-0.548201,56802.6,942017,34278.6,-45293.6,-37232.5,2.80926e+06,-29872.5,52734,34984.2
14.396,0.634648,1.45394,2563.87,730.996,0.654935,52488.4,942129,5775.17,52169.7,45490.5,2.80912e+06,-7184.68,-52342.2,-36263.7
10.7782,0.955748,2.66574,2492.66,810.733,0.945055,22388.6,942058,-18647,12391.1,64722.4,2.8092e+06,15192.7,464.586,-65752.1
26.4507,-0.313124,1.5817,2507.08,803.154,-0.276802,65999.8,942073,-579.646,65997.2,-19011.7,2.80919e+06,1080.98,-60915.3,28283.2
46.6676,-0.304568,1.81563,2605.56,719.92,-0.322867,66271.2,942171,-15648.3,64397.3,-22607.5,2.80911e+06,16185.9,-59516.1,15492.3
34.3316,0.771777,2.44575,2510.35,797.843,0.76705,44095.2,942076,-34711.2,27194.2,52718.1,2.80919e+06,29099.8,-29661.6,-52491.3
36.1182,0.77692,1.2496,2430.59,880.946,0.76704,43388.9,941996,14898.5,40750.8,51872.1,2.80927e+06,-9593.21,-40842.4,-56468.8
27.7927,0.453747,2.92923,2531.47,780.749,0.448713,61679,942097,-60782.3,10478.9,30968.9,2.80917e+06,55199.3,-19733.8,-30814.3
28.7232,0.681921,3.61739,2404.58,899.655,0.678026,49440.8,941970,-44604.6,-21326.6,45606,2.80929e+06,43498,27356.6,-49127.6
53.8545,-0.914365,0.52577,2467.89,870.892,-0.927385,25493.1,942033,22745.3,11513.1,-63195.5,2.80926e+06,-27607.8,-21043.8,60723.5
77.0392,-0.656595,5.11558,2316.46,1047.73,-0.665072,49300.4,941882,20246.9,-44951,-43906.3,2.80944e+06,-20548,55673,48623.6
135.448,-0.450756,3.70873,2468.46,956.317,-0.470891,60122.8,942034,-49371.5,-34310.4,-32092,2.80935e+06,60452.2,29963.2,28637.1
44.6076,-0.297821,1.70091,2478.42,836.794,-0.285736,65442.2,942044,-8200.94,64926.3,-19512.7,2.80923e+06,9251.1,-63974,22858.9
34.3568,-0.0431981,4.7096,2343.91,967.375,-0.04339,66345.4,941909,-874.902,-66339.6,-2881.44,2.80936e+06,-1850.8,73628.5,3144.82
26.5201,0.661417,5.77118,2483.7,812.371,0.657359,51516.1,942049,45099,-24899.5,44938.3,2.8092e+06,-42956.9,25470.3,-45492.2
69.8509,-0.057823,5.28461,2594.75,758.964,-0.0825314,69637.2,942160,39048.3,-57659.1,-5766.93,2.80915e+06,-31230.5,57325.4,-1401.43
47.3225,0.917541,4.05005,2502.15,819.631,0.915377,27624.6,942068,-18205.4,-20776.9,62809.4,2.80921e+06,12283.3,23407.9,-62494.4
55.3535,0.277921,6.25358,2406.72,926.328,0.254649,65074.5,941972,65056.6,-1527.01,17136.1,2.80932e+06,-67718.7,3197.07,-24653.6
80.5121,-0.0786121,2.57496,2530.14,826.376,-0.0580542,68882.7,942096,-57498.1,37931.4,-4005.69,2.80922e+06,58666.7,-33301.9,9563.28
47.8226,-0.636091,5.76181,2591.23,730.282,-0.63618,53875.3,942157,46505.9,-27198.3,-44423.4,2.80912e+06,-43487.2,23531.2,40712.6
39.5257,0.0673208,4.85186,2426.53,888.697,0.0430625,67507,941992,9319.88,-66860.6,2909.72,2.80928e+06,-9923.19,69290.8,-9629.36
21.0347,-0.177843,0.589083,2533.42,759.698,-0.170135,68037.2,942099,56239.6,38290.5,-11746.7,2.80915e+06,-54154.2,-34071.2,13194.9
