K_keV,count
11344,0
11371,0
11397.9,0
11424.9,0
11451.9,0
11478.9,0
11505.9,0
11532.8,0
11559.8,0
11586.8,0
11613.8,0
11640.7,0
11667.7,0
11694.7,0
11721.7,0
11748.7,0
11775.6,0
11802.6,0
11829.6,0
11856.6,0
11883.6,0
11910.5,0
11937.5,0
11964.5,0
11991.5,0
12018.5,0
12045.4,0
12072.4,0
12099.4,0
12126.4,0
12153.4,0
12180.3,0
12207.3,0
12234.3,0
12261.3,0
12288.2,0
12315.2,0
12342.2,0
12369.2,0
12396.2,0
12423.1,0
12450.1,0
12477.1,0
12504.1,0
12531.1,0
12558,0
12585,0
12612,0
12639,1
12666,0
12692.9,0
12719.9,1
12746.9,3
12773.9,0
12800.8,1
12827.8,0
12854.8,4
12881.8,5
12908.8,5
12935.7,8
12962.7,11
12989.7,15
13016.7,24
13043.7,24
13070.6,30
13097.6,42
13124.6,67
13151.6,76
13178.6,100
13205.5,108
13232.5,138
13259.5,174
13286.5,181
13313.5,223
13340.4,257
13367.4,335
13394.4,379
13421.4,462
13448.3,569
13475.3,616
13502.3,737
13529.3,865
13556.3,992
13583.2,1113
13610.2,1202
13637.2,1393
13664.2,1536
13691.2,1715
13718.1,1757
13745.1,1916
13772.1,2088
13799.1,2269
13826.1,2413
13853,2639
13880,2749
13907,2861
13934,2964
13960.9,3124
13987.9,3072
14014.9,3157
14041.9,3171
14068.9,3243
14095.8,3161
14122.8,3302
14149.8,3072
14176.8,2900
14203.8,2888
14230.7,2838
14257.7,2769
14284.7,2634
14311.7,2527
14338.7,2375
14365.6,2202
14392.6,2025
14419.6,1823
14446.6,1765
14473.6,1554
14500.5,1448
14527.5,1322
14554.5,1168
14581.5,1011
14608.4,888
14635.4,795
14662.4,714
14689.4,599
14716.4,579
14743.3,503
14770.3,387
14797.3,315
14824.3,299
14851.3,235
14878.2,196
14905.2,156
14932.2,148
14959.2,103
14986.2,93
15013.1,78
15040.1,59
15067.1,56
15094.1,43
15121,26
15148,28
15175,18
15202,15
15229,11
15255.9,7
15282.9,5
15309.9,7
15336.9,2
15363.9,3
15390.8,5
15417.8,1
15444.8,3
15471.8,2
15498.8,0
15525.7,0
15552.7,1
15579.7,0
15606.7,0
15633.6,0
15660.6,1
15687.6,0
15714.6,0
15741.6,0
15768.5,0
15795.5,0
15822.5,0
15849.5,0
15876.5,0
15903.4,0
15930.4,0
15957.4,0
15984.4,0
16011.4,0
16038.3,0
16065.3,0
16092.3,0
16119.3,0
16146.3,0
16173.2,0
16200.2,0
16227.2,0
16254.2,0
16281.1,0
16308.1,0
16335.1,0
16362.1,0
16389.1,0
16416,0
16443,0
16470,0
16497,0
16524,0
16550.9,0
16577.9,0
16604.9,0
16631.9,0
16658.9,0
16685.8,0
16712.8,0
