E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
25.5304,0.80918,3.64916,14011.5,3609.14,0.80396,96854.5,953577,-84839.5,-46723.2,130939,3.73099e+06,79447.5,45994.7,-135981
15.8631,0.106463,0.211018,14091.6,3526.48,0.118666,162182,953657,158379,34913.6,19382.4,3.73091e+06,-159060,-30207.6,-9436.3
16.5155,-0.406714,4.52391,14189.2,3423.5,-0.401652,150103,953755,-27076.4,-147640,-65832.5,3.7308e+06,31162.7,141111,68187.2
27.2422,0.894133,1.42202,13867.5,3754.32,0.891573,73376,953433,11152.6,72523.5,144455,3.73113e+06,-9545.55,-71064.3,-151197
24.869,-0.647182,3.96373,13856.8,3767.16,-0.639661,124491,953422,-84790.5,-91151.5,-103599,3.73115e+06,83959.7,90798.4,113154
20.9111,0.542757,1.22782,14008.4,3605.87,0.547666,136255,953574,45078.5,128582,89186.9,3.73099e+06,-49883.6,-130531,-85831.4
18.1331,-0.782296,0.218058,13927.8,3687.7,-0.776067,102403,953493,99923.1,22397.9,-126015,3.73107e+06,-96175.1,-20305.5,133576
10.6439,-0.395286,0.827075,14090.8,3509.66,-0.396919,149914,953656,101336,110478,-64829.2,3.73089e+06,-101545,-109121,62906.6
23.5678,0.842753,3.52809,13866.7,3752.67,0.840503,87782.4,953432,-80928.2,-34005.5,136176,3.73113e+06,82795.9,29508,-142350
49.102,0.210699,5.72248,14268,3387.32,0.197735,161117,953833,136061,-86291.4,32500.1,3.73077e+06,-131359,79146.4,-41758.1
35.24,0.71333,1.84291,14274.6,3356,0.716884,114619,953840,-30555.4,110471,117856,3.73074e+06,31397.3,-108746,-110535
15.3854,0.349472,4.70177,14077.8,3530.52,0.343171,153341,953643,-2075.89,-153327,56024.6,3.73091e+06,-156.566,150488,-60703.9
24.8246,0.521172,5.00939,13920.8,3700.85,0.527639,137899,953486,41235.8,-131589,85654.5,3.73108e+06,-38765.5,138956,-82408.1
37.0528,-0.69071,3.94955,13974.1,3663.87,-0.699466,116239,953540,-80749.6,-83612.6,-113767,3.73104e+06,84510.2,91796,108435
19.2744,-0.214241,1.76312,14027.4,3583.38,-0.211463,159275,953593,-31228.3,156184,-34460,3.73096e+06,27369.3,-156920,36784.9
28.4087,-0.060392,0.450667,14332.2,3295.61,-0.0536789,164497,953898,147987,71827.2,-8842.76,3.73067e+06,-140912,-67324.9,13789.3
26.8891,-0.800147,0.534535,14172.4,3451.41,-0.798746,98557.4,953738,85579.3,48885,-130840,3.73083e+06,-78691.6,-53551.7,129156
39.2071,-0.76069,2.91972,14054.7,3579.22,-0.758601,106282,953620,-103370,24707.5,-123743,3.73096e+06,103058,-17815.2,125525
16.7195,0.794282,0.0719881,14040.2,3577.18,0.786657,100656,953606,100434,6679.24,128253,3.73096e+06,-92408.7,-8867.97,-134394
19.9949,0.344467,2.80381,14070.4,3555.08,0.35822,152381,953636,-144013,49801.7,58465.7,3.73093e+06,146061,-54359.2,-47181.2
47.8475,0.595665,0.0846174,14067.6,3570,0.594516,131223,953633,130720,11477,97022.3,3.73095e+06,-130178,-9518.52,-97924.6
21.0255,-0.4769,6.09426,13873.9,3742.62,-0.481396,142046,953439,139677,-25834.2,-78015.1,3.73112e+06,-145077,31156.5,76788
37.6663,0.629558,4.64095,13875.4,3760.1,0.636131,125049,953441,-8402.45,-124767,103097,3.73114e+06,11574.1,132939,-101183
26.1998,0.0273285,5.56059,13965.3,3653.67,0.0335022,162506,953531,122130,-107202,5447.36,3.73103e+06,-122893,110216,-581.878
34.3949,-0.923956,2.5107,14058.6,3578.67,-0.927645,60927.6,953624,-50146.4,34605.2,-151339,3.73096e+06,51316.5,-45413.1,148308
27.0129,-0.584362,3.81305,14047.1,3576.13,-0.588466,131850,953613,-102335,-83138.9,-95964.6,3.73096e+06,108634,79202,92723.1
22.2863,0.467099,0.742755,14010.4,3607.69,0.466067,144091,953576,107192,96292.2,75904,3.73099e+06,-102368,-102308,-77210
38.9324,0.487004,2.52005,14081.6,3548.17,0.483106,142959,953647,-116078,83445.8,78880.1,3.73093e+06,114927,-81122,-81696.8
14.7829,-0.293616,4.66277,14071.7,3535.39,-0.287324,156337,953637,-7727.57,-156146,-46896.9,3.73091e+06,7740.02,153746,51676.1
14.4511,0.551195,0.0939558,13978.2,3627.01,0.547779,136095,953544,135487,12848.3,89108.4,3.73101e+06,-135212,-12425,-92816.9
27.9687,0.37076,2.02018,14220.2,3428.08,0.351894,153590,953786,-66404.7,138493,57740.4,3.73081e+06,63442.7,-128376,-71146.3
18.6396,-0.989273,1.79307,13929.8,3681.03,-0.988528,24527.1,953495,-5523.57,23897,-160525,3.73106e+06,4183.57,-20632.4,164352
18.5431,-0.198302,0.522526,13781.5,3834.54,-0.198954,158286,953347,136713,79774.8,-32134.1,3.73121e+06,-145438,-79696,33114.7
53.3989,-0.791476,1.48107,13968.2,3680.72,-0.788117,100093,953534,10094,99582.5,-128159,3.73106e+06,-4417.74,-98468.3,133180
17.6476,-0.388995,4.67314,14553.1,3078.22,-0.39318,152639,954119,-6394.19,-152505,-65271.4,3.73046e+06,3940.38,140650,56203.9
62.2027,-0.263333,5.73974,13878.4,3778.38,-0.263135,156374,953444,134276,-80143.3,-42650.6,3.73116e+06,-136871,86505.8,44321.4
37.8085,0.468771,0.15852,14139.7,3488.46,0.468865,144518,953705,142631,23277.1,76714,3.73087e+06,-141007,-20679.1,-75546.8
