E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
27.5551,0.796145,3.54592,14037.2,3592.8,0.802779,97203.6,953603,-89892.5,-36984.9,130867,3.73097e+06,94016.9,46020.8,-125854
57.7022,0.488109,6.17635,13948.7,3719.09,0.473968,143087,953514,142183,-16057.5,77019.4,3.7311e+06,-139594,11805.8,-90072.5
67.2951,0.620297,1.46789,13904.4,3756.23,0.617669,127591,953470,13564.8,126868,100210,3.73114e+06,-11555.8,-129450,-105475
66.062,0.0425813,5.65393,14591.3,3091.69,0.0475934,166040,954157,133546,-98665.4,7911.37,3.73047e+06,-125373,85607.7,-3201.88
75.6677,-0.709089,2.62238,14395,3285.23,-0.703794,117286,953960,-101263,59175.9,-116195,3.73066e+06,94971.4,-49183.8,114292
32.828,-0.347666,2.18781,14203.5,3420.5,-0.347396,153774,953769,-88955.4,125433,-56968.7,3.7308e+06,86683.6,-122041,55702.6
25.2448,0.422764,5.71868,14910,2838.43,0.430747,151659,954475,125332,-85394.8,72386.3,3.73022e+06,-123029,54335.7,-55493.2
47.6858,-0.142715,0.959243,14270.3,3391,-0.127457,163035,953836,94668.9,132734,-20950.8,3.73077e+06,-85164.5,-130328,32437.9
53.9336,0.661828,6.06621,13895,3780.1,0.67266,120008,953460,116662,-28143.4,109095,3.73116e+06,-130547,19286,-103824
39.7295,0.324894,4.8427,14273.5,3360.72,0.327301,155339,953839,19638.6,-154093,53806.4,3.73074e+06,-21660.6,148686,-49879.7
64.8304,0.771729,2.65356,13760.3,3936.77,0.76122,104660,953326,-93577.7,46872.1,122853,3.73132e+06,84396.4,-55779.3,-138308
59.1351,-0.248741,1.2858,14416.6,3251.9,-0.237247,160505,953982,45423.9,153944,-39198.5,3.73063e+06,-40661.1,-143086,46105.8
108.969,-0.422621,5.3235,14301.1,3418.51,-0.436526,148048,953867,85663.4,-120748,-71832.4,3.7308e+06,-82449.2,123666,58348.6
34.8771,0.514213,1.75919,13742.4,3895.21,0.510472,138687,953308,-27097.4,136014,82331,3.73127e+06,22696.7,-142989,-89955.8
63.502,0.793428,5.5947,13674.3,4002.41,0.796568,97260.5,953240,74019,-63093.6,128153,3.73138e+06,-87368.5,63307.8,-134952
41.4813,-0.508488,3.29732,13937.6,3697.99,-0.503832,140311,953503,-138729,-21009.5,-81839.5,3.73108e+06,139037,24840.7,87366.9
31.6794,0.597391,5.28236,13492.1,4168.26,0.588755,129167,953058,68734.6,-109360,94082.1,3.73155e+06,-77832.4,113143,-110596
82.266,0.922434,0.429203,13515.8,4210.49,0.929405,59027.3,953081,53325.1,25311.2,148649,3.73159e+06,-73136,-29923.2,-158624
60.5293,0.183924,1.39024,14542.4,3163.04,0.161776,163762,954108,28604,161244,26846.4,3.73054e+06,-29643.1,-144597,-42458
46.0395,0.190824,4.81275,14167.2,3473.06,0.193357,160686,953733,14925.7,-159991,31667.2,3.73085e+06,-20440.1,156971,-29071.2
56.4061,-0.0497562,2.83528,13857,3813.27,-0.0469854,161781,953422,-153393,51417.5,-7609.76,3.73119e+06,163441,-40323.1,10124.7
31.7625,-0.982497,4.80482,13842.2,3788.37,-0.981256,31194.4,953408,3897.12,-30950,-158839,3.73117e+06,1471.16,27536.9,165817
32.4923,-0.387569,5.73501,13801.7,3866.59,-0.385466,149144,953367,125188,-81065.8,-62304.5,3.73125e+06,-140653,67780.3,66798.9
52.2231,0.680219,6.0238,14222.3,3494.66,0.663405,122787,953788,117623,-35234.3,108863,3.73087e+06,-107842,12884.9,-119449
29.2754,0.0923256,0.500893,14117.3,3546.21,0.0690516,163095,953683,142250,79781.5,11288.9,3.73093e+06,-143258,-70975.5,-29806.2
38.9541,-0.8631,1.22041,13729.8,3928.75,-0.870604,79312.6,953295,25898,74965.3,-140350,3.73131e+06,-37616.5,-86872.3,142624
71.6954,0.180586,1.11796,13974.4,3692.55,0.174769,160147,953540,69170,144439,28426.2,3.73107e+06,-74586,-144379,-33650.8
46.9988,-0.879697,5.21994,13831.8,3855.22,-0.868258,80276.9,953397,40592.6,-69257.6,-140494,3.73123e+06,-26464.2,62182.6,155523
86.207,0.937282,3.78108,13414.6,4310.88,0.94049,54145.4,952980,-43985.2,-31575.8,149853,3.73169e+06,52378.3,43410.7,-165913
57.9228,0.76045,3.93634,14216.2,3496.82,0.770067,104665,953782,-76334.5,-71608.9,126338,3.73088e+06,66108.7,91480,-115504
76.5416,0.728538,6.22845,14129,3571.45,0.737815,110399,953694,110039,-8917.43,120673,3.73095e+06,-118245,-4822.78,-112391
37.4117,-0.00376201,3.24291,14426.7,3222,0.00103855,165281,953992,-164237,-18547,171.653,3.7306e+06,154738,8493.43,3685.75
31.7978,0.230268,1.04149,14210.2,3413.92,0.228353,159693,953776,80207.2,138089,37456,3.73079e+06,-79920.7,-132788,-37967.3
35.53,-0.743173,0.435792,14034.3,3601.83,-0.75103,107624,953600,97215.3,46175.6,-122419,3.73098e+06,-105735,-45685.7,116604
72.4575,0.442376,2.70124,14278.4,3408.43,0.456431,146297,953844,-132918,61120,75047.7,3.73079e+06,130787,-67544,-61264.2
63.2523,0.519631,5.28081,13483.4,4228.27,0.527731,135690,953049,75410.1,-112806,84302.9,3.73161e+06,-73819.8,136141,-86919.1
42.9229,-0.746554,2.75385,13562.1,4110.56,-0.748643,106218,953128,-97333.1,42527.6,-119944,3.73149e+06,112893,-35246.8,129124
46.0264,0.465537,3.10602,14513.7,3141.92,0.463134,146931,954079,-146869,4254.53,76779.4,3.73052e+06,134389,-8584.23,-72787.4
65.945,0.270955,4.4019,14207.6,3500.01,0.246864,158935,953773,-50254,-150781,40488.6,3.73088e+06,39268.5,145228,-58913.8
76.6154,-0.431888,5.17296,14019.5,3676.93,-0.450179,145472,953585,63945.1,-130664,-73340.5,3.73106e+06,-71443.1,137009,59569.1
70.8259,0.93631,3.04146,14043.5,3643.44,0.93732,56819.7,953609,-56129.9,8826.92,152834,3.73102e+06,60689.9,6374.93,-153135
99.476,-0.0915341,2.02661,14058,3670.07,-0.0678496,162763,953623,-71976.7,145984,-11068.9,3.73105e+06,70315.1,-146690,30180
80.5121,-0.635432,4.29922,14319.7,3390.13,-0.618796,129351,953885,-53082.6,-117957,-101892,3.73077e+06,41087.4,105949,111224
45.6898,-0.679976,0.239401,13705.4,3967.05,-0.666156,120125,953271,116923,27548,-107295,3.73135e+06,-113547,-31592.5,125292
62.3978,0.622789,0.936493,13358.5,4378.49,0.628287,123699,952924,70339.2,101753,99897.4,3.73176e+06,-96659.2,-107313,-108631
76.3008,0.911458,3.00784,14133.2,3535.56,0.910627,67595.4,953699,-66844,10050.7,148959,3.73091e+06,65593.4,-4692.39,-148475
18.8777,0.234583,1.99914,13705.5,3938.85,0.2223,157036,953271,-63016.5,143837,35805,3.73132e+06,76875.6,-145542,-47817.3
62.376,-0.316673,3.25094,14318.9,3344.21,-0.322361,155868,953884,-155067,-15775,-53079.2,3.73072e+06,149480,21297.5,46300.2
72.7047,0.588719,1.99945,14482.5,3226.81,0.580882,134799,954048,-53019.1,123934,96195.8,3.73061e+06,62096.3,-104919,-95924.7
44.7145,-0.682968,6.05307,14394.7,3250,-0.681465,120826,953960,117501,-28148.2,-112507,3.73063e+06,-110367,23423.5,107280
98.1676,0.779204,4.97092,14303.9,3395.84,0.782708,102427,953869,27743.8,-98597.8,128811,3.73078e+06,-20095.9,100695,-121587
58.1619,-0.368734,0.55082,14061.6,3592.83,-0.359377,152260,953627,129652,79833.3,-58636.1,3.73097e+06,-127884,-77782,66274.3
41.0827,0.824464,1.50018,13513,4145.99,0.823067,90827.2,953078,5712.54,90647.4,131627,3.73153e+06,-9655.39,-97799.9,-145830
33.5214,-0.124211,0.280665,13788.9,3851.25,-0.136863,160039,953354,153801,44245.1,-22111.4,3.73123e+06,-162275,-47139.1,13023.2
58.9154,-0.0252637,3.31839,14153.9,3506.74,-0.0124426,163687,953719,-161046,-29283.6,-2036.85,3.73089e+06,159076,26419.7,12289.5
36.8076,-0.47071,4.05951,13825.8,3822.54,-0.469014,142880,953391,-88832.1,-111908,-75875.5,3.7312e+06,81977.6,123818,80371.1
83.6443,0.0227224,0.214741,13747.4,3941.83,0.0314777,161234,953313,157606,34007.8,5077.78,3.73132e+06,-167217,-37906.1,1633.36
83.6146,0.898851,1.03439,13828.3,3855.09,0.896016,71838.8,953394,36068.2,62128.1,144968,3.73123e+06,-38614.4,-59221.4,-154128
72.7928,-0.45746,5.22493,14406.3,3282.21,-0.459408,146702,953972,69660,-129109,-75877.4,3.73066e+06,-77285.1,116571,70121.9
44.0268,0.118946,1.76712,13806.7,3850.84,0.102655,160810,953372,-31130.2,157768,16595.7,3.73123e+06,33457,-163332,-30415.6
70.4622,0.852279,2.3657,13999.9,3661.27,0.850656,85587.3,953565,-61283.2,59745.7,138486,3.73104e+06,59747,-60121.9,-141855
45.4834,0.421331,1.63862,13455.6,4237.49,0.43237,143893,953021,-7379.73,143703,68997.7,3.73162e+06,20397.9,-163082,-67790.1
54.9377,0.990477,2.71785,14522.4,3160.44,0.992607,20127.1,954088,-18695.2,7455.83,164607,3.73054e+06,27482.8,-16217.8,-150173
77.4688,-0.378547,0.911179,13643,4067.66,-0.360834,149870,953208,92452,117956,-57984.5,3.73145e+06,-93379,-125349,76864.1
60.6565,-0.962463,1.89128,13863.9,3814.2,-0.96562,42113.4,953429,-15449.5,39177.1,-156432,3.73119e+06,8122.58,-53298.6,159818
