cos_theta_lab,count
-0.975,2436
-0.925,2514
-0.875,2528
-0.825,2533
-0.775,2507
-0.725,2503
-0.675,2545
-0.625,2516
-0.575,2526
-0.525,2501
-0.475,2487
-0.425,2481
-0.375,2466
-0.325,2489
-0.275,2485
-0.225,2531
-0.175,2447
-0.125,2418
-0.075,2468
-0.025,2473
0.025,2464
0.075,2520
0.125,2516
0.175,2451
0.225,2521
0.275,2402
0.325,2511
0.375,2521
0.425,2505
0.475,2508
0.525,2549
0.575,2550
0.625,2558
0.675,2523
0.725,2403
0.775,2533
0.825,2554
0.875,2542
0.925,2474
0.975,2541
