E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
65.7441,-0.341881,1.62439,13486.6,4229.03,-0.323239,151189,953052,-9112.15,150914,-51642.5,3.73161e+06,4725.21,-162215,72168.7
69.7135,0.757528,4.77933,14441.8,3252.48,0.769554,105601,954007,7241.22,-105352,127260,3.73063e+06,-6699.21,110291,-109764
32.6422,-0.614834,5.01923,13560.1,4142.43,-0.591394,129185,953125,39458.9,-123011,-94743.1,3.73152e+06,-36503.2,121165,122002
51.18,-0.989227,2.75326,13304.9,4399.48,-0.988001,24507.6,952870,-23251.9,7744.2,-156774,3.73178e+06,17651.7,-14142.7,179736
76.4396,0.592911,4.24991,14310.1,3391.7,0.60881,130585,953875,-59431,-116277,100214,3.73077e+06,55740.8,123274,-83619.6
69.3465,-0.260514,4.42395,13879.4,3812.89,-0.240597,157331,953445,-44117.2,-151019,-38998.9,3.73119e+06,47692.7,151605,56391.1
56.5813,-0.592946,3.22451,13573.1,4132.7,-0.576185,131001,953139,-130385,-12689.1,-92351.3,3.73151e+06,133349,3827.38,114144
87.3675,-0.751935,3.1861,13596.7,4104.8,-0.748107,106452,953162,-106335,-4974.44,-120012,3.73148e+06,112524,4076.4,133936
80.3973,-0.834356,1.46503,13624.7,4069.01,-0.829835,89608.9,953190,9387.98,89115.8,-133261,3.73145e+06,-9962.54,-91172.4,148116
79.3406,0.717509,4.73945,14484.2,3228.94,0.728536,113446,954050,5348.79,-113319,120655,3.73061e+06,5804.02,115334,-103662
70.831,0.207801,2.15536,14403.3,3300.55,0.227854,160802,953969,-87493.2,134915,37629.1,3.73068e+06,90696.6,-126533,-19475.9
43.5743,-0.322862,4.54371,13771.4,3924.99,-0.296001,154220,953337,-25052.3,-152172,-47791.1,3.7313e+06,29346.5,152501,71816.9
49.9243,-0.58131,6.21804,13475.4,4226.11,-0.564763,131792,953041,131581,-7441.49,-90191.8,3.73161e+06,-136145,13355.6,113175
62.8292,-0.922216,5.09639,13462.4,4246.49,-0.917007,63667.9,953028,21929.8,-59772,-146373,3.73163e+06,-30380.8,53673,166946
76.4559,0.927399,4.24861,14563.3,3130.36,0.93145,60427.1,954129,-27253.2,-53932.4,154684,3.73051e+06,27628.4,57412.7,-138875
58.9851,-0.307439,1.95025,13583,4124.45,-0.285876,153648,953148,-55886.2,143124,-45837.3,3.7315e+06,64004.4,-148830,67208.4
61.9279,0.871306,5.74195,14992.5,2730.22,0.87085,82833.6,954558,70838.5,-42933.9,146752,3.73011e+06,-60166.1,34789.1,-124621
75.7077,-0.267657,5.74943,13994,3697.82,-0.248792,157647,953559,135729,-80189.8,-40494.6,3.73108e+06,-134464,79555,56307.1
40.8164,0.988739,5.93729,14996.3,2713.9,0.98862,25353.9,954562,24317.8,-7173.81,166619,3.73009e+06,-17700,12596.2,-140595
64.0646,-0.866004,0.565706,13416,4281.33,-0.862849,80542.1,952981,68427.3,42482.3,-137489,3.73166e+06,-70848,-48756.7,156646
78.67,0.485111,4.42008,14153,3551.56,0.504343,141350,953718,-41683.9,-135064,82557.9,3.73093e+06,39098.6,143434,-66232.1
86.4588,0.789938,0.169964,14429.3,3269.56,0.797837,99652.5,953995,98069.7,17690.3,131879,3.73065e+06,-101323,-14026.7,-117989
140.176,-0.620358,6.06545,14012.4,3732.28,-0.616534,128234,953578,124719,-29818.3,-100416,3.73111e+06,-127568,19515.6,105749
58.6938,-0.286919,4.74211,13665.9,4033.99,-0.265014,155081,953231,3761.62,-155035,-42622.5,3.73141e+06,-8112.11,161284,63327.8
69.5592,0.691396,3.61232,14330.2,3380.03,0.708965,116170,953896,-104105,-51552.6,116783,3.73076e+06,109201,61141.2,-97701.9
82.66,-0.21319,6.0716,13857.7,3841.12,-0.196403,158810,953423,155449,-32501.4,-31810.4,3.73122e+06,-158336,37490.6,46619.9
62.5094,0.684647,4.89137,14610.6,3080.32,0.695112,119581,954176,21442,-117643,115624,3.73046e+06,-20176.7,114942,-96714.8
52.9744,-0.766284,3.00147,13609.4,4090.31,-0.751265,105928,953175,-104744,15790.2,-120575,3.73147e+06,100286,-10166.9,142648
84.9121,0.800387,3.02676,14551.9,3144.36,0.804839,98521,954117,-97838.3,11578,133605,3.73052e+06,95133.7,-9824.68,-119597
69.1058,0.528676,3.56538,14582.2,3127.39,0.542926,139552,954148,-126385,-59172.4,90221.3,3.73051e+06,126169,48484.2,-71093.5
39.3171,0.802961,0.536595,14820.8,2876.07,0.81242,97688.2,954386,83725.1,50329.8,136113,3.73026e+06,-82988.4,-47293.1,-111018
52.9202,0.156288,6.19637,14134.7,3557.28,0.182481,160840,953700,160284,-13366.1,29851.5,3.73094e+06,-161835,16373.4,-8515.82
62.041,-0.834982,5.3115,13555,4140.9,-0.826264,90222.6,953120,51849.1,-73836.2,-132345,3.73152e+06,-46000.3,75573.3,151853
74.1995,-0.631408,2.96849,13604.4,4090.67,-0.621696,125687,953170,-123756,21945,-99761.3,3.73147e+06,128628,-21293.6,116246
90.6389,0.540966,0.384085,14553.3,3151.28,0.548897,138766,954119,128453,52496,91122.5,3.73053e+06,-123304,-47563.1,-77690.1
66.4241,-0.242597,4.9128,13480.5,4239.12,-0.22155,155760,953046,30843,-152675,-35387.9,3.73162e+06,-34233.4,165216,56135.5
48.6399,0.162693,0.570072,14502.3,3203.94,0.189399,162717,954068,137268,87374.4,31386.5,3.73058e+06,-128855,-85047,-7634.76
66.1619,0.61197,2.03661,14477.3,3214.33,0.625732,129153,954043,-58631.7,115078,103604,3.73059e+06,55523.4,-116527,-85504.8
46.0337,0.688642,2.63209,14725,2969.2,0.701229,119056,954290,-103970,58005.8,117101,3.73035e+06,100651,-56558.8,-93882.4
98.7902,-0.444058,1.6367,13992,3726.23,-0.429908,146945,953557,-7513.93,146753,-69968.8,3.73111e+06,17971.9,-143602,82750.1
87.7275,0.36487,5.28338,14115.8,3592,0.38264,151036,953681,82862.1,-126277,62552.9,3.73097e+06,-79664.2,134650,-48099.1
40.339,-0.0654194,2.86689,13887.2,3816.31,-0.0338279,162045,953453,-155672,44998.2,-5484.78,3.7312e+06,160724,-40894.8,30976
67.4693,0.952204,2.04531,14719.8,2972.41,0.95295,50611.6,954285,-22931.7,45118.5,159109,3.73035e+06,22228.8,-41420.8,-141271
60.931,-0.751006,2.9311,13426.1,4278.4,-0.74282,106719,952991,-104037,23777.5,-118408,3.73166e+06,110805,-17608.1,139014
51.5549,-0.778108,0.346754,13280.4,4424.07,-0.771698,100824,952846,94959.5,33883.9,-122338,3.7318e+06,-102104,-38579.7,145211
66.6981,-0.65987,3.66212,13652.5,4039.66,-0.647416,122515,953218,-106664,-60272,-104073,3.73142e+06,105534,63924.1,122096
82.8693,-0.0359387,2.88961,14249,3448.6,-0.0176021,164227,953814,-158984,41165.5,-2891.19,3.73083e+06,154599,-38888.9,17525.9
70.4933,0.445072,0.745124,14588.2,3110.5,0.458995,147668,954154,108422,100252,76289.9,3.73049e+06,-103790,-94853.6,-58550.7
37.4957,0.440758,5.07235,14304.3,3408.98,0.470485,145221,953870,52334.5,-135463,77429.2,3.73079e+06,-48634.8,143281,-50298.4
37.1534,-0.705955,0.264212,13472.4,4230.69,-0.687827,115908,953038,112160,29237.6,-109833,3.73161e+06,-109089,-33840.5,136055
78.5739,-0.371866,5.33536,13820.9,3872.44,-0.356306,151132,953386,88105.6,-122793,-57631.6,3.73125e+06,-89859.3,124480,72891.3
69.9366,0.129669,4.2051,14268.3,3427.18,0.150576,162490,953834,-78066.8,-142509,24749.4,3.73081e+06,80976.4,137665,-7187.07
69.2184,-0.674494,0.0169069,13814.1,3888.32,-0.657919,121780,953380,121735,3299.48,-106391,3.73127e+06,-115840,2897.8,124797
68.5535,0.267144,2.43102,14200.5,3493.3,0.288047,157021,953766,-119618,101720,47231.1,3.73087e+06,117909,-106214,-29496.3
64.0571,-0.907719,5.9639,13457.6,4233.28,-0.904963,67905.1,953023,64451.4,-21380.5,-144425,3.73161e+06,-67343.6,21978.7,162965
95.7435,0.373632,2.17209,14398.7,3304.13,0.384606,152419,953964,-86623.6,125411,63505.9,3.73068e+06,82326.2,-123351,-51473
61.5634,-0.0973569,0.215616,13924,3768.11,-0.073745,161912,953489,158035,35223.6,-11972.8,3.73115e+06,-161378,-32955.3,31235.5
101.44,0.891565,3.16341,14400.7,3306.33,0.896062,73306.4,953966,-73302.8,-725.69,147967,3.73069e+06,76739.2,5091.89,-136909
88.1818,0.678994,0.832616,14705.6,3005.18,0.682579,121960,954271,82166.8,90127.4,113911,3.73038e+06,-75033.3,-83217.7,-99281
75.7226,-0.74054,0.373403,13724.3,3972.47,-0.729822,110187,953290,102982,39190.2,-117631,3.73135e+06,-99089.3,-43346.4,133910
82.4389,0.256859,4.6518,13972.4,3733.81,0.277471,156252,953538,-10305.5,-155912,45127.3,3.73111e+06,6639.3,164106,-29557.4
89.5249,-0.493767,0.678132,14069.2,3633.7,-0.477411,143405,953635,111591,90068.7,-77915.9,3.73101e+06,-106927,-85459.7,91459.9
88.2258,-0.691668,4.49901,13887.2,3816.13,-0.679507,118956,953453,-26225.1,-116029,-110174,3.7312e+06,20142.9,112533,124071
66.1722,0.522421,0.671897,14896.1,2845.92,0.535673,141837,954461,112386,86529,89976.3,3.73023e+06,-95570,-87180.8,-67004.5
51.624,-0.218286,0.656657,13633.3,4069.69,-0.192997,157618,953199,124848,96210.4,-31002.6,3.73145e+06,-131238,-101222,53717.9
93.7685,0.547345,4.37975,14335.2,3370.17,0.558618,136649,953901,-45926.8,-128700,92033.3,3.73075e+06,39678.6,131433,-79284.6
70.2925,0.231975,1.89416,14486,3213.45,0.250668,160335,954051,-50741.5,152094,41516.3,3.73059e+06,49416.3,-144790,-23657.4
114.051,0.307183,4.81564,14058.9,3658.43,0.319083,154617,953624,16993.7,-153680,52056.7,3.73104e+06,-12294.3,159002,-43051
46.7307,-0.760827,5.53869,13589.2,4109.57,-0.74433,107101,953155,78579.3,-72773.7,-119373,3.73149e+06,-75148.1,67780.6,142868
54.6074,0.603185,1.47676,14618.4,3084.91,0.618667,130720,954184,13908.1,129978,102936,3.73046e+06,-5636.2,-128171,-80915.5
77.557,0.327879,1.08639,14466.6,3230.67,0.343099,155464,954032,72334.1,137612,56786.7,3.73061e+06,-69975.3,-132382,-40898
92.9564,0.959684,3.58387,14493.3,3227.97,0.964361,43833.2,954059,-38993.7,-20020.8,159761,3.73061e+06,51346.7,18235,-145276
89.6412,0.358988,1.72898,14157.8,3541.74,0.374647,151798,953723,-24484.6,149810,61337.9,3.73092e+06,22206.6,-153636,-48148.2
89.6518,0.123446,2.72031,14265.8,3436.52,0.139381,162745,953831,-148062,67555.2,22907.2,3.73082e+06,147550,-61398.7,-9458.08
61.8005,0.992427,1.48929,14739.5,2950.16,0.992834,19965.5,954305,1331.75,19921,165880,3.73033e+06,-2809.2,-20243.6,-146914
40.1335,-0.971303,0.830059,13259.9,4437.13,-0.968396,39509.5,952825,26803.9,29026.7,-153401,3.73182e+06,-23772.3,-27112.2,178318
65.9994,0.39594,5.37109,14339,3350.66,0.414507,149952,953904,91750.3,-118606,68299.9,3.73073e+06,-91849.2,118396,-50355.9
105.095,0.157438,4.20196,14346.3,3363.84,0.169081,162443,953912,-80005.2,-141375,27867.3,3.73074e+06,74384.6,138753,-17389.8
70.2268,-0.387539,0.465196,13945.1,3746.76,-0.368008,151076,953511,135173,67470.8,-59793.3,3.73113e+06,-132044,-67754.2,76934.5
44.1008,0.140028,5.42438,14403.5,3297.4,0.16835,162790,953969,106684,-122959,27802.4,3.73068e+06,-101148,119788,-3471.38
73.7099,-0.0841707,2.26197,14004.1,3693.37,-0.0633724,162497,953569,-102609,126002,-10318.5,3.73107e+06,108121,-122960,27155.3
99.4903,0.81143,1.15833,14402.3,3309.39,0.817794,95039.9,953968,36582.3,87717.2,135050,3.73069e+06,-44968.6,-86677.8,-123071
54.8001,-0.741728,4.63262,13171.5,4556.37,-0.735459,106971,952737,-9804.19,-106521,-116110,3.73194e+06,4492.23,119318,140465
56.2881,0.372761,2.49065,14256.9,3434.22,0.395655,150891,953822,-120170,91253.3,65005.2,3.73081e+06,121747,-93830.1,-44571.3
51.3352,0.334781,3.02563,14459.7,3233.24,0.35704,154565,954025,-153513,18001.8,59079.9,3.73061e+06,149788,-16982.2,-37264.5
93.5879,0.541738,4.24979,14203.8,3498.75,0.555343,136377,953769,-61272.8,-121837,91070.4,3.73088e+06,61379.9,127112,-78547.7
61.8116,0.46634,3.29243,14207.6,3489.46,0.488609,143100,953773,-141433,-21779.5,80137.4,3.73087e+06,148027,21391,-60462.7
62.9407,-0.920738,4.92868,13452.3,4243.31,-0.917513,63458.3,953018,14777.6,-61713.7,-146399,3.73162e+06,-9339.14,64184.8,165662
47.037,-0.271175,3.61212,13963,3732.08,-0.243314,157697,953528,-140274,-72052.7,-39558.7,3.73111e+06,138936,67911,62614.2
82.1235,-0.721766,3.58531,13641.9,4054.61,-0.715077,112329,953207,-101232,-48681.6,-114905,3.73143e+06,105551,47967.3,129617
80.2471,0.73224,1.68122,14653.3,3048,0.737088,112577,954219,-13078.9,111815,122787,3.73043e+06,9051.14,-105675,-107155
84.656,0.228891,2.52944,14263.8,3431.33,0.244825,159337,953829,-130274,91743.4,40234.1,3.73081e+06,129649,-89957.8,-26272.8
75.5152,0.830613,2.78151,14621.6,3083.4,0.83618,91264.1,954187,-84747.6,33867.1,139142,3.73046e+06,86533,-24912.4,-122012
74.0238,0.220903,1.12776,14275.4,3416.13,0.239484,159621,953841,68491.3,144180,39372.6,3.7308e+06,-67450.7,-142798,-23179.9
