cos_theta_lab,count
-0.975,2548
-0.925,2449
-0.875,2450
-0.825,2504
-0.775,2536
-0.725,2571
-0.675,2502
-0.625,2420
-0.575,2528
-0.525,2419
-0.475,2539
-0.425,2458
-0.375,2512
-0.325,2471
-0.275,2543
-0.225,2487
-0.175,2502
-0.125,2496
-0.075,2498
-0.025,2497
0.025,2525
0.075,2529
0.125,2458
0.175,2596
0.225,2401
0.275,2494
0.325,2435
0.375,2397
0.425,2501
0.475,2476
0.525,2538
0.575,2495
0.625,2529
0.675,2454
0.725,2567
0.775,2570
0.825,2503
0.875,2510
0.925,2564
0.975,2528
