cos_theta_lab,count
-0.975,2474
-0.925,2524
-0.875,2489
-0.825,2458
-0.775,2474
-0.725,2541
-0.675,2435
-0.625,2521
-0.575,2530
-0.525,2490
-0.475,2536
-0.425,2555
-0.375,2488
-0.325,2492
-0.275,2499
-0.225,2460
-0.175,2450
-0.125,2589
-0.075,2499
-0.025,2575
0.025,2543
0.075,2441
0.125,2471
0.175,2509
0.225,2512
0.275,2531
0.325,2548
0.375,2514
0.425,2471
0.475,2494
0.525,2521
0.575,2551
0.625,2472
0.675,2529
0.725,2454
0.775,2477
0.825,2488
0.875,2414
0.925,2587
0.975,2394
